time, lone, latg, alti, altia, vimag, vrmag, loneip, latgip, tgo, path, azih, pati, alph, beta, thep, psip, eu_r1, eu_r2, eu_i1, eu_i2, inc, ha, hp, aorb, ta, mach, dp, thru, drag, ab, massLV, drng, drngi, delv0, delv1, delv2, delv3, delv4, plon, diip0, diip1, diip2, diip3
    1.1000000,  127.5363300,   34.4318199,    0.1395061,    0.1395061,    0.3836309,    0.0024552,  127.5363303,   34.4318168,    5.5997170,   89.5937265, -178.0257888,    0.3666804,    0.3980954,    0.0805384,   90.0000000,    0.0000000,   89.9962093,  -89.9974015,   90.0000000,    0.0000000,   34.4318200,    0.1398144,-6370.6180053, 3192.8979045,  179.9991344,    0.0072263,    0.0036430,  652.7118578,    0.0040134,    1.2275170,54221.4713423,    0.0000950,    0.0003681,    0.0131658,    0.0000000,    0.0000343,    0.0018341,    0.0150415,   37.5363301,    0.0009971,    0.2893512,   -0.0000012,   -0.0000001
    1.2000000,  127.5363300,   34.4318199,    0.1397629,    0.1397629,    0.3836323,    0.0026818,  127.5363303,   34.4318167,    5.6289460,   89.5941954, -177.8454911,    0.4005207,    0.3974300,    0.0813490,   90.0000000,    0.0000000,   89.9958647,  -89.9971653,   90.0000000,    0.0000000,   34.4318200,    0.1401308,-6370.6180086, 3192.8980611,  179.9990546,    0.0078933,    0.0043463,  652.7146261,    0.0047891,    1.2280969,54196.0351007,    0.0000000,    0.0003802,    0.0143619,    0.0000000,    0.0000409,    0.0020013,    0.0164128,   37.5363301,    0.0010173,    0.2952292,   -0.0000013,   -0.0000001
    1.3000000,  127.5363300,   34.4318199,    0.1400424,    0.1400424,    0.3836338,    0.0029090,  127.5363303,   34.4318166,    5.6587629,   89.5946597, -177.6650704,    0.4344458,    0.3967656,    0.0821576,   90.0000000,    0.0000000,   89.9955201,  -89.9969290,   90.0000000,    0.0000000,   34.4318200,    0.1404753,-6370.6180121, 3192.8982316,  179.9989745,    0.0085619,    0.0051137,  652.7176389,    0.0056357,    1.2286776,54170.5988591,    0.0001344,    0.0004032,    0.0155578,    0.0000000,    0.0000480,    0.0021686,    0.0177847,   37.5363301,    0.0010376,    0.3011078,   -0.0000013,   -0.0000001
    1.4000000,  127.5363300,   34.4318199,    0.1403447,    0.1403447,    0.3836355,    0.0031367,  127.5363303,   34.4318164,    5.6891676,   89.5951194, -177.4845303,    0.4684558,    0.3961023,    0.0829643,   90.0000000,    0.0000000,   89.9951755,  -89.9966928,   90.0000000,    0.0000000,   34.4318200,    0.1408480,-6370.6180160, 3192.8984160,  179.9988942,    0.0092322,    0.0059455,  652.7208968,    0.0065536,    1.2292592,54145.1626174,    0.0000950,    0.0004032,    0.0167536,    0.0000000,    0.0000557,    0.0023359,    0.0191573,   37.5363301,    0.0010578,    0.3069856,   -0.0000013,   -0.0000001
    1.5000000,  127.5363300,   34.4318198,    0.1406698,    0.1406698,    0.3836373,    0.0033650,  127.5363303,   34.4318163,    5.7201599,   89.5955744, -177.3038740,    0.5025507,    0.3954401,    0.0837692,   90.0000000,    0.0000000,   89.9948309,  -89.9964566,   90.0000000,    0.0000000,   34.4318200,    0.1412490,-6370.6180201, 3192.8986144,  179.9988137,    0.0099042,    0.0068422,  652.7244003,    0.0075435,    1.2298417,54119.7263758,    0.0000000,    0.0004250,    0.0179493,    0.0000000,    0.0000640,    0.0025033,    0.0205305,   37.5363301,    0.0010781,    0.3128609,   -0.0000013,   -0.0000001
    1.6000000,  127.5363300,   34.4318198,    0.1410177,    0.1410177,    0.3836392,    0.0035939,  127.5363302,   34.4318162,    5.7517396,   89.5960248, -177.1231050,    0.5367306,    0.3947789,    0.0845722,   90.0000000,    0.0000000,   89.9944863,  -89.9962203,   90.0000000,    0.0000000,   34.4318200,    0.1416783,-6370.6180245, 3192.8988269,  179.9987330,    0.0105779,    0.0078044,  652.7281500,    0.0086058,    1.2304251,54094.2901342,    0.0000000,    0.0004250,    0.0191448,    0.0000000,    0.0000729,    0.0026708,    0.0219043,   37.5363302,    0.0010983,    0.3187325,   -0.0000014,   -0.0000001
    1.7000000,  127.5363300,   34.4318198,    0.1413886,    0.1413886,    0.3836413,    0.0038233,  127.5363302,   34.4318160,    5.7839062,   89.5964707, -176.9422268,    0.5709958,    0.3941187,    0.0853733,   90.0000000,    0.0000000,   89.9941417,  -89.9959841,   90.0000000,    0.0000000,   34.4318200,    0.1421362,-6370.6180292, 3192.8990535,  179.9986521,    0.0112533,    0.0088324,  652.7321466,    0.0097412,    1.2310093,54068.8538926,    0.0000950,    0.0004558,    0.0203402,    0.0000000,    0.0000824,    0.0028383,    0.0232788,   37.5363302,    0.0011185,    0.3245987,   -0.0000014,   -0.0000001
    1.8000000,  127.5363300,   34.4318198,    0.1417824,    0.1417824,    0.3836435,    0.0040533,  127.5363302,   34.4318159,    5.8166591,   89.5969119, -176.7612428,    0.6053462,    0.3934595,    0.0861726,   90.0000000,    0.0000000,   89.9937971,  -89.9957478,   90.0000000,    0.0000000,   34.4318200,    0.1426227,-6370.6180342, 3192.8992943,  179.9985711,    0.0119304,    0.0099268,  652.7363906,    0.0109502,    1.2315944,54043.4176510,    0.0001344,    0.0004656,    0.0215355,    0.0000000,    0.0000925,    0.0030059,    0.0246539,   37.5363302,    0.0011387,    0.3304581,   -0.0000014,   -0.0000001
    1.9000000,  127.5363300,   34.4318197,    0.1421992,    0.1421992,    0.3836459,    0.0042839,  127.5363302,   34.4318157,    5.8499976,   89.5973485, -176.5801563,    0.6397820,    0.3928014,    0.0869700,   90.0000000,    0.0000000,   89.9934525,  -89.9955116,   90.0000000,    0.0000000,   34.4318200,    0.1431379,-6370.6180395, 3192.8995492,  179.9984898,    0.0126092,    0.0110879,  652.7408826,    0.0122333,    1.2321804,54017.9814094,    0.0000950,    0.0004846,    0.0227306,    0.0000000,    0.0001031,    0.0031736,    0.0260297,   37.5363303,    0.0011589,    0.3363093,   -0.0000015,   -0.0000001
    2.0000000,  127.5363300,   34.4318197,    0.1426392,    0.1426392,    0.3836484,    0.0045151,  127.5363302,   34.4318156,    5.8839207,   89.5977806, -176.3989710,    0.6743032,    0.3921443,    0.0877655,   90.0000000,    0.0000000,   89.9931079,  -89.9952754,   90.0000000,    0.0000000,   34.4318200,    0.1436819,-6370.6180451, 3192.8998184,  179.9984083,    0.0132897,    0.0123164,  652.7456232,    0.0135911,    1.2327673,53992.5451678,    0.0000950,    0.0004939,    0.0239255,    0.0000000,    0.0001143,    0.0033414,    0.0274061,   37.5363303,    0.0011790,    0.3421509,   -0.0000015,   -0.0000001
